,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.19785497,0.0223977670421406
1,1,3,0.4,0.19016756,0.029863689389520807
2,2,3,0.5,0.18766046,0.037329611736901004
3,3,3,0.6,0.18677041,0.0447955340842812
4,4,3,0.7,0.18640332,0.0522614564316614
5,5,5,0.3,0.18139702,0.037329611736901004
6,6,5,0.4,0.18007566,0.04977281564920134
7,7,5,0.5,0.17958882,0.062216019561501676
8,8,5,0.6,0.17938007,0.07465922347380201
9,9,5,0.7,0.1792822,0.08710242738610234
10,10,7,0.3,0.17888886,0.052261456431661406
11,11,7,0.4,0.17841084,0.06968194190888188
12,12,7,0.5,0.17824194,0.08710242738610234
13,13,7,0.6,0.17817244,0.10452291286332281
14,14,7,0.7,0.17814128,0.12194339834054327
15,15,9,0.3,0.17815617,0.0671933011264218
16,16,9,0.4,0.17795762,0.08959106816856241
17,17,9,0.5,0.17789714,0.11198883521070302
18,18,9,0.6,0.17787711,0.1343866022528436
19,19,9,0.7,0.17787105,0.1567843692949842
20,20,11,0.3,0.1779036,0.0821251458211822
21,21,11,0.4,0.17782864,0.10950019442824295
22,22,11,0.5,0.1778177,0.13687524303530368
23,23,11,0.6,0.1778215,0.1642502916423644
24,24,11,0.7,0.17782822,0.19162534024942515
