,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.08683259,0.022143035316122855
1,1,3,0.4,0.08295583,0.029524047088163814
2,2,3,0.5,0.081499204,0.036905058860204766
3,3,3,0.6,0.08096138,0.04428607063224571
4,4,3,0.7,0.0807372,0.05166708240428666
5,5,5,0.3,0.07867388,0.036905058860204766
6,6,5,0.4,0.078026354,0.049206745146939686
7,7,5,0.5,0.077780485,0.061508431433674605
8,8,5,0.6,0.07767005,0.07381011772040953
9,9,5,0.7,0.07761687,0.08611180400714445
10,10,7,0.3,0.07748034,0.05166708240428667
11,11,7,0.4,0.077253,0.06888944320571556
12,12,7,0.5,0.07717023,0.08611180400714445
13,13,7,0.6,0.07713564,0.10333416480857334
14,14,7,0.7,0.07712033,0.12055652561000221
15,15,9,0.3,0.077137396,0.06642910594836857
16,16,9,0.4,0.07704561,0.08857214126449144
17,17,9,0.5,0.0770192,0.11071517658061429
18,18,9,0.6,0.07701222,0.13285821189673713
19,19,9,0.7,0.07701173,0.15500124721286
20,20,11,0.3,0.0770214,0.08119112949245047
21,21,11,0.4,0.07699233,0.10825483932326731
22,22,11,0.5,0.07699454,0.13531854915408414
23,23,11,0.6,0.07700319,0.16238225898490094
24,24,11,0.7,0.07701204,0.18944596881571776
