,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.12586257,0.020395964979669223
1,1,3,0.4,0.12425211,0.027194619972892305
2,2,3,0.5,0.121497035,0.03399327496611537
3,3,3,0.6,0.118191205,0.04079192995933845
4,4,3,0.7,0.11577028,0.047590584952561514
5,5,5,0.3,0.11276172,0.03399327496611537
6,6,5,0.4,0.11041471,0.045324366621487165
7,7,5,0.5,0.10939338,0.05665545827685896
8,8,5,0.6,0.108910985,0.06798654993223074
9,9,5,0.7,0.108626895,0.07931764158760254
10,10,7,0.3,0.10883699,0.04759058495256153
11,11,7,0.4,0.108092815,0.06345411327008203
12,12,7,0.5,0.10782448,0.07931764158760254
13,13,7,0.6,0.107680745,0.09518116990512306
14,14,7,0.7,0.107594445,0.11104469822264354
15,15,9,0.3,0.107800156,0.06118789493900767
16,16,9,0.4,0.107521765,0.08158385991867691
17,17,9,0.5,0.107417844,0.10197982489834613
18,18,9,0.6,0.107370466,0.12237578987801534
19,19,9,0.7,0.10735141,0.14277175485768456
20,20,11,0.3,0.107453585,0.07478520492545382
21,21,11,0.4,0.107331395,0.09971360656727177
22,22,11,0.5,0.10729993,0.1246420082090897
23,23,11,0.6,0.10730204,0.14957040985090764
24,24,11,0.7,0.10732206,0.1744988114927256
