,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15655078,0.02021878333222231
1,1,3,0.4,0.15490176,0.026958377776296418
2,2,3,0.5,0.15226819,0.03369797222037051
3,3,3,0.6,0.1483866,0.04043756666444462
4,4,3,0.7,0.1450791,0.04717716110851872
5,5,5,0.3,0.14067496,0.03369797222037051
6,6,5,0.4,0.13776425,0.04493062962716069
7,7,5,0.5,0.13632391,0.05616328703395086
8,8,5,0.6,0.13563992,0.06739594444074103
9,9,5,0.7,0.13524634,0.0786286018475312
10,10,7,0.3,0.13559395,0.047177161108518724
11,11,7,0.4,0.13454728,0.06290288147802497
12,12,7,0.5,0.13417833,0.0786286018475312
13,13,7,0.6,0.13398139,0.09435432221703745
14,14,7,0.7,0.1338584,0.11008004258654368
15,15,9,0.3,0.13414463,0.06065634999666692
16,16,9,0.4,0.13375735,0.08087513332888924
17,17,9,0.5,0.13360974,0.10109391666111155
18,18,9,0.6,0.13353537,0.12131269999333384
19,19,9,0.7,0.13349724,0.14153148332555618
20,20,11,0.3,0.13366286,0.07413553888481514
21,21,11,0.4,0.13348484,0.09884738517975353
22,22,11,0.5,0.13342704,0.12355923147469189
23,23,11,0.6,0.13341197,0.14827107776963028
24,24,11,0.7,0.13341995,0.17298292406456864
