,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15083732,0.02060515112419533
1,1,3,0.4,0.14830177,0.027473534832260445
2,2,3,0.5,0.14416899,0.034341918540325554
3,3,3,0.6,0.14025319,0.04121030224839066
4,4,3,0.7,0.13778922,0.048078685956455765
5,5,5,0.3,0.13466747,0.034341918540325554
6,6,5,0.4,0.13198544,0.04578922472043407
7,7,5,0.5,0.13094196,0.057236530900542586
8,8,5,0.6,0.13043712,0.06868383708065111
9,9,5,0.7,0.13013366,0.08013114326075962
10,10,7,0.3,0.13029316,0.04807868595645578
11,11,7,0.4,0.12952164,0.0641049146086077
12,12,7,0.5,0.12922874,0.08013114326075962
13,13,7,0.6,0.12906794,0.09615737191291156
14,14,7,0.7,0.1289714,0.11218360056506346
15,15,9,0.3,0.1291955,0.06181545337258599
16,16,9,0.4,0.12889132,0.08242060449678133
17,17,9,0.5,0.12877248,0.10302575562097666
18,18,9,0.6,0.12871554,0.12363090674517198
19,19,9,0.7,0.12868935,0.14423605786936733
20,20,11,0.3,0.12881632,0.0755522207887162
21,21,11,0.4,0.12867862,0.10073629438495496
22,22,11,0.5,0.1286391,0.1259203679811937
23,23,11,0.6,0.12863462,0.1511044415774324
24,24,11,0.7,0.12864748,0.17628851517367117
