,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.11154215,0.023600770603918336
1,1,3,0.4,0.11009201,0.03146769413855779
2,2,3,0.5,0.10970353,0.03933461767319723
3,3,3,0.6,0.109567635,0.04720154120783667
4,4,3,0.7,0.10951064,0.05506846474247611
5,5,5,0.3,0.10609977,0.03933461767319723
6,6,5,0.4,0.10567045,0.05244615689759631
7,7,5,0.5,0.10554568,0.06555769612199538
8,8,5,0.6,0.1055002,0.07866923534639446
9,9,5,0.7,0.10548089,0.09178077457079355
10,10,7,0.3,0.10505503,0.05506846474247613
11,11,7,0.4,0.10490381,0.07342461965663484
12,12,7,0.5,0.104863524,0.09178077457079355
13,13,7,0.6,0.10485051,0.11013692948495225
14,14,7,0.7,0.10484591,0.12849308439911095
15,15,9,0.3,0.10476538,0.07080231181175502
16,16,9,0.4,0.10471271,0.09440308241567336
17,17,9,0.5,0.10470415,0.1180038530195917
18,18,9,0.6,0.10470417,0.14160462362351003
19,19,9,0.7,0.10470589,0.16520539422742836
20,20,11,0.3,0.104681656,0.0865361588810339
21,21,11,0.4,0.10467537,0.11538154517471189
22,22,11,0.5,0.104683116,0.14422693146838986
23,23,11,0.6,0.10469045,0.1730723177620678
24,24,11,0.7,0.104696006,0.20191770405574577
