,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.16526443,0.021367646375861638
1,1,3,0.4,0.15851542,0.028490195167815525
2,2,3,0.5,0.15340021,0.0356127439597694
3,3,3,0.6,0.15089521,0.042735292751723275
4,4,3,0.7,0.14975536,0.04985784154367715
5,5,5,0.3,0.14651154,0.0356127439597694
6,6,5,0.4,0.14462364,0.04748365861302587
7,7,5,0.5,0.1439388,0.05935457326628234
8,8,5,0.6,0.14358848,0.0712254879195388
9,9,5,0.7,0.14339578,0.08309640257279527
10,10,7,0.3,0.14333154,0.049857841543677166
11,11,7,0.4,0.14276977,0.06647712205823622
12,12,7,0.5,0.14254123,0.08309640257279527
13,13,7,0.6,0.14242774,0.09971568308735433
14,14,7,0.7,0.14236926,0.11633496360191337
15,15,9,0.3,0.14249836,0.06410293912758491
16,16,9,0.4,0.14226007,0.08547058550344656
17,17,9,0.5,0.14217427,0.1068382318793082
18,18,9,0.6,0.1421402,0.12820587825516983
19,19,9,0.7,0.14212866,0.1495735246310315
20,20,11,0.3,0.14219916,0.07834803671149268
21,21,11,0.4,0.1421009,0.10446404894865692
22,22,11,0.5,0.14208269,0.13058006118582113
23,23,11,0.6,0.14208968,0.15669607342298536
24,24,11,0.7,0.14210497,0.1828120856601496
