,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.16339014,0.02402651793275167
1,1,3,0.4,0.16189806,0.0320353572436689
2,2,3,0.5,0.16149385,0.04004419655458612
3,3,3,0.6,0.16135086,0.04805303586550334
4,4,3,0.7,0.16129044,0.056061875176420556
5,5,5,0.3,0.1560958,0.04004419655458612
6,6,5,0.4,0.15558778,0.05339226207278149
7,7,5,0.5,0.15544653,0.06674032759097687
8,8,5,0.6,0.15539622,0.08008839310917223
9,9,5,0.7,0.15537518,0.0934364586273676
10,10,7,0.3,0.15468922,0.05606187517642057
11,11,7,0.4,0.15451297,0.07474916690189409
12,12,7,0.5,0.15446897,0.0934364586273676
13,13,7,0.6,0.1544557,0.11212375035284114
14,14,7,0.7,0.15445146,0.13081104207831465
15,15,9,0.3,0.15430366,0.07207955379825501
16,16,9,0.4,0.15424715,0.09610607173100669
17,17,9,0.5,0.15424101,0.12013258966375835
18,18,9,0.6,0.15424328,0.14415910759651002
19,19,9,0.7,0.15424666,0.1681856255292617
20,20,11,0.3,0.1541992,0.08809723242008945
21,21,11,0.4,0.15420108,0.11746297656011928
22,22,11,0.5,0.15421532,0.1468287207001491
23,23,11,0.6,0.15422678,0.1761944648401789
24,24,11,0.7,0.154235,0.20556020898020871
