,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.18581945,0.023750731351917832
1,1,3,0.4,0.18370193,0.031667641802557114
2,2,3,0.5,0.18313214,0.03958455225319639
3,3,3,0.6,0.18293165,0.047501462703835665
4,4,3,0.7,0.18284708,0.05541837315447494
5,5,5,0.3,0.17705873,0.03958455225319639
6,6,5,0.4,0.1763933,0.05277940300426186
7,7,5,0.5,0.17620324,0.06597425375532733
8,8,5,0.6,0.17613454,0.07916910450639278
9,9,5,0.7,0.17610547,0.09236395525745825
10,10,7,0.3,0.17536427,0.05541837315447495
11,11,7,0.4,0.17512737,0.0738911642059666
12,12,7,0.5,0.17506461,0.09236395525745825
13,13,7,0.6,0.17504418,0.1108367463089499
14,14,7,0.7,0.17503685,0.12930953736044154
15,15,9,0.3,0.1748869,0.0712521940557535
16,16,9,0.4,0.1748017,0.09500292540767134
17,17,9,0.5,0.17478696,0.11875365675958917
18,18,9,0.6,0.17478614,0.142504388111507
19,19,9,0.7,0.1747882,0.16625511946342483
20,20,11,0.3,0.17474495,0.08708601495703205
21,21,11,0.4,0.1747316,0.11611468660937609
22,22,11,0.5,0.17474164,0.1451433582617201
23,23,11,0.6,0.17475177,0.1741720299140641
24,24,11,0.7,0.1747595,0.20320070156640813
