,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.07852044,0.022208380556355014
1,1,3,0.4,0.07512221,0.029611174075140023
2,2,3,0.5,0.07389731,0.03701396759392502
3,3,3,0.6,0.073450774,0.04441676111271003
4,4,3,0.7,0.07326544,0.05181955463149503
5,5,5,0.3,0.07136448,0.03701396759392502
6,6,5,0.4,0.07079689,0.049351956791900034
7,7,5,0.5,0.07058279,0.06168994598987504
8,8,5,0.6,0.07048791,0.07402793518785004
9,9,5,0.7,0.070442624,0.08636592438582506
10,10,7,0.3,0.07030488,0.05181955463149504
11,11,7,0.4,0.07010155,0.06909273950866006
12,12,7,0.5,0.07002717,0.08636592438582506
13,13,7,0.6,0.06999568,0.10363910926299008
14,14,7,0.7,0.069981344,0.12091229414015507
15,15,9,0.3,0.069992825,0.06662514166906504
16,16,9,0.4,0.06990645,0.08883352222542007
17,17,9,0.5,0.069879584,0.11104190278177507
18,18,9,0.6,0.06987089,0.13325028333813008
19,19,9,0.7,0.0698686,0.1554586638944851
20,20,11,0.3,0.06988029,0.08143072870663505
21,21,11,0.4,0.06984703,0.10857430494218008
22,22,11,0.5,0.069843665,0.1357178811777251
23,23,11,0.6,0.069847465,0.1628614574132701
24,24,11,0.7,0.0698525,0.1900050336488151
