,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.14781706,0.02021878333222231
1,1,3,0.4,0.14626092,0.026958377776296418
2,2,3,0.5,0.14377584,0.03369797222037051
3,3,3,0.6,0.14011289,0.04043756666444462
4,4,3,0.7,0.1369916,0.04717716110851872
5,5,5,0.3,0.13283367,0.03369797222037051
6,6,5,0.4,0.13008635,0.04493062962716069
7,7,5,0.5,0.12872718,0.05616328703395086
8,8,5,0.6,0.12808205,0.06739594444074103
9,9,5,0.7,0.12771122,0.0786286018475312
10,10,7,0.3,0.12804325,0.047177161108518724
11,11,7,0.4,0.12705687,0.06290288147802497
12,12,7,0.5,0.12671,0.0786286018475312
13,13,7,0.6,0.12652585,0.09435432221703745
14,14,7,0.7,0.12641186,0.11008004258654368
15,15,9,0.3,0.12668125,0.06065634999666692
16,16,9,0.4,0.12631936,0.08087513332888924
17,17,9,0.5,0.12618342,0.10109391666111155
18,18,9,0.6,0.12611695,0.12131269999333384
19,19,9,0.7,0.12608509,0.14153148332555618
20,20,11,0.3,0.12623161,0.07413553888481514
21,21,11,0.4,0.12606919,0.09884738517975353
22,22,11,0.5,0.12601998,0.12355923147469189
23,23,11,0.6,0.12601154,0.14827107776963028
24,24,11,0.7,0.12602527,0.17298292406456864
