,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.09371978,0.01980797506546254
1,1,3,0.4,0.09293216,0.02641063342061673
2,2,3,0.5,0.092232585,0.033013291775770906
3,3,3,0.6,0.09069375,0.03961595013092508
4,4,3,0.7,0.08870158,0.04621860848607926
5,5,5,0.3,0.08464545,0.033013291775770906
6,6,5,0.4,0.083177,0.044017722367694544
7,7,5,0.5,0.08213064,0.055022152959618174
8,8,5,0.6,0.08156375,0.06602658355154181
9,9,5,0.7,0.08125145,0.07703101414346544
10,10,7,0.3,0.08160399,0.04621860848607927
11,11,7,0.4,0.080804795,0.06162481131477236
12,12,7,0.5,0.080514945,0.07703101414346544
13,13,7,0.6,0.0803725,0.09243721697215854
14,14,7,0.7,0.08028497,0.10784341980085162
15,15,9,0.3,0.08051576,0.059423925196387624
16,16,9,0.4,0.08021392,0.07923190026185017
17,17,9,0.5,0.08010849,0.09903987532731272
18,18,9,0.6,0.08005776,0.11884785039277525
19,19,9,0.7,0.08003407,0.1386558254582378
20,20,11,0.3,0.08014863,0.072629241906696
21,21,11,0.4,0.08001903,0.096838989208928
22,22,11,0.5,0.07998039,0.12104873651116
23,23,11,0.6,0.07997459,0.145258483813392
24,24,11,0.7,0.07998873,0.16946823111562398
