,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.17284591,0.021251512338838888
1,1,3,0.4,0.16639972,0.02833534978511852
2,2,3,0.5,0.16082248,0.03541918723139815
3,3,3,0.6,0.1578798,0.042503024677677775
4,4,3,0.7,0.15650049,0.049586862123957395
5,5,5,0.3,0.15316258,0.03541918723139815
6,6,5,0.4,0.15101925,0.04722558297519753
7,7,5,0.5,0.15025006,0.05903197871899691
8,8,5,0.6,0.14985384,0.0708383744627963
9,9,5,0.7,0.14963077,0.08264477020659568
10,10,7,0.3,0.14959782,0.04958686212395741
11,11,7,0.4,0.14897612,0.06611581616527655
12,12,7,0.5,0.14872143,0.08264477020659568
13,13,7,0.6,0.14859165,0.09917372424791482
14,14,7,0.7,0.14852282,0.11570267828923393
15,15,9,0.3,0.14867304,0.06375453701651666
16,16,9,0.4,0.14840792,0.08500604935535555
17,17,9,0.5,0.148311,0.10625756169419444
18,18,9,0.6,0.14827156,0.12750907403303333
19,19,9,0.7,0.14825778,0.14876058637187223
20,20,11,0.3,0.14834172,0.07792221190907592
21,21,11,0.4,0.14823008,0.10389628254543458
22,22,11,0.5,0.14820752,0.1298703531817932
23,23,11,0.6,0.14821385,0.15584442381815183
24,24,11,0.7,0.14823048,0.18181849445451048
