,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.07571626,0.024307213386492353
1,1,3,0.4,0.075138405,0.03240961784865648
2,2,3,0.5,0.07498042,0.04051202231082059
3,3,3,0.6,0.07492413,0.048614426772984706
4,4,3,0.7,0.074900195,0.05671683123514882
5,5,5,0.3,0.072445825,0.04051202231082059
6,6,5,0.4,0.072237,0.05401602974776079
7,7,5,0.5,0.072179325,0.067520037184701
8,8,5,0.6,0.07215873,0.08102404462164119
9,9,5,0.7,0.07215006,0.09452805205858139
10,10,7,0.3,0.07181304,0.05671683123514883
11,11,7,0.4,0.0717386,0.07562244164686512
12,12,7,0.5,0.0717197,0.09452805205858139
13,13,7,0.6,0.07171376,0.11343366247029767
14,14,7,0.7,0.07171172,0.13233927288201391
15,15,9,0.3,0.07163592,0.07292164015947707
16,16,9,0.4,0.07161023,0.09722885354596943
17,17,9,0.5,0.07160643,0.12153606693246179
18,18,9,0.6,0.07160661,0.14584328031895413
19,19,9,0.7,0.071607515,0.1701504937054465
20,20,11,0.3,0.07158428,0.0891264490838053
21,21,11,0.4,0.071582526,0.11883526544507375
22,22,11,0.5,0.07158707,0.14854408180634218
23,23,11,0.6,0.07159101,0.1782528981676106
24,24,11,0.7,0.07159392,0.20796171452887902
