,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.174767,0.021432406158908252
1,1,3,0.4,0.16732718,0.028576541545211012
2,2,3,0.5,0.16207097,0.03572067693151376
3,3,3,0.6,0.15958656,0.042864812317816504
4,4,3,0.7,0.15846924,0.050008947704119254
5,5,5,0.3,0.15495269,0.03572067693151376
6,6,5,0.4,0.1530182,0.047627569242018344
7,7,5,0.5,0.1523048,0.059534461552522934
8,8,5,0.6,0.1519403,0.07144135386302752
9,9,5,0.7,0.15174152,0.0833482461735321
10,10,7,0.3,0.15166785,0.05000894770411926
11,11,7,0.4,0.15107611,0.06667859693882569
12,12,7,0.5,0.15083489,0.0833482461735321
13,13,7,0.6,0.15071607,0.10001789540823852
14,14,7,0.7,0.15065518,0.11668754464294494
15,15,9,0.3,0.15079045,0.06429721847672476
16,16,9,0.4,0.1505374,0.08572962463563302
17,17,9,0.5,0.15044713,0.10716203079454127
18,18,9,0.6,0.15041195,0.12859443695344952
19,19,9,0.7,0.15040031,0.15002684311235778
20,20,11,0.3,0.15047109,0.07858548924933026
21,21,11,0.4,0.1503654,0.10478065233244037
22,22,11,0.5,0.1503457,0.13097581541555045
23,23,11,0.6,0.15035255,0.15717097849866052
24,24,11,0.7,0.15036781,0.18336614158177061
