,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15575089,0.01993403919379044
1,1,3,0.4,0.15438375,0.026578718925053927
2,2,3,0.5,0.15285951,0.033223398656317404
3,3,3,0.6,0.14982954,0.03986807838758088
4,4,3,0.7,0.14640808,0.04651275811884436
5,5,5,0.3,0.14048243,0.033223398656317404
6,6,5,0.4,0.137853,0.044297864875089875
7,7,5,0.5,0.13618645,0.05537233109386234
8,8,5,0.6,0.13533673,0.06644679731263481
9,9,5,0.7,0.13486585,0.07752126353140727
10,10,7,0.3,0.13537873,0.046512758118844366
11,11,7,0.4,0.13414027,0.062017010825125826
12,12,7,0.5,0.1337035,0.07752126353140727
13,13,7,0.6,0.13348198,0.09302551623768873
14,14,7,0.7,0.133343,0.10852976894397018
15,15,9,0.3,0.13370052,0.05980211758137132
16,16,9,0.4,0.1332466,0.07973615677516177
17,17,9,0.5,0.13308223,0.09967019596895221
18,18,9,0.6,0.13299903,0.11960423516274264
19,19,9,0.7,0.13295525,0.1395382743565331
20,20,11,0.3,0.13314724,0.07309147704389829
21,21,11,0.4,0.13295053,0.09745530272519773
22,22,11,0.5,0.13288695,0.12181912840649715
23,23,11,0.6,0.13286887,0.14618295408779658
24,24,11,0.7,0.13287632,0.170546779769096
