,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.120091975,0.022458799458021213
1,1,3,0.4,0.115602106,0.02994506594402829
2,2,3,0.5,0.114173576,0.03743133243003536
3,3,3,0.6,0.113668114,0.044917598916042425
4,4,3,0.7,0.11345912,0.05240386540204949
5,5,5,0.3,0.110400744,0.03743133243003536
6,6,5,0.4,0.10961745,0.049908443240047146
7,7,5,0.5,0.10933292,0.06238555405005893
8,8,5,0.6,0.109212734,0.07486266486007072
9,9,5,0.7,0.109157,0.0873397756700825
10,10,7,0.3,0.10889409,0.052403865402049506
11,11,7,0.4,0.10860797,0.06987182053606601
12,12,7,0.5,0.10850809,0.0873397756700825
13,13,7,0.6,0.10846732,0.10480773080409901
14,14,7,0.7,0.10844911,0.12227568593811548
15,15,9,0.3,0.10844767,0.06737639837406363
16,16,9,0.4,0.108325236,0.08983519783208486
17,17,9,0.5,0.10828744,0.11229399729010607
18,18,9,0.6,0.10827455,0.13475279674812726
19,19,9,0.7,0.10827034,0.1572115962061485
20,20,11,0.3,0.108287886,0.08234893134607778
21,21,11,0.4,0.10823852,0.10979857512810372
22,22,11,0.5,0.10823038,0.13724821891012964
23,23,11,0.6,0.108232066,0.16469786269215556
24,24,11,0.7,0.10823583,0.1921475064741815
