,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.11864042,0.02219541765775891
1,1,3,0.4,0.113463044,0.029593890210345218
2,2,3,0.5,0.11158066,0.03699236276293152
3,3,3,0.6,0.11089225,0.04439083531551782
4,4,3,0.7,0.11060602,0.051789307868104116
5,5,5,0.3,0.10775536,0.03699236276293152
6,6,5,0.4,0.10688933,0.04932315035057536
7,7,5,0.5,0.1065606,0.061653937938219196
8,8,5,0.6,0.10641373,0.07398472552586303
9,9,5,0.7,0.10634305,0.08631551311350687
10,10,7,0.3,0.10613929,0.05178930786810412
11,11,7,0.4,0.1058266,0.0690524104908055
12,12,7,0.5,0.105711065,0.08631551311350687
13,13,7,0.6,0.10566161,0.10357861573620825
14,14,7,0.7,0.105638824,0.12084171835890961
15,15,9,0.3,0.10566163,0.06658625297327672
16,16,9,0.4,0.105527446,0.08878167063103565
17,17,9,0.5,0.105484426,0.11097708828879455
18,18,9,0.6,0.1054695,0.13317250594655344
19,19,9,0.7,0.10546478,0.15536792360431237
20,20,11,0.3,0.105491474,0.08138319807844933
21,21,11,0.4,0.10543839,0.10851093077126579
22,22,11,0.5,0.10543043,0.13563866346408224
23,23,11,0.6,0.10543369,0.16276639615689867
24,24,11,0.7,0.10543935,0.1898941288497151
