,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.11675402,0.022554424396902518
1,1,3,0.4,0.11269912,0.0300725658625367
2,2,3,0.5,0.11145918,0.037590707328170866
3,3,3,0.6,0.11102525,0.045108848793805036
4,4,3,0.7,0.110846676,0.052626990259439205
5,5,5,0.3,0.107811384,0.037590707328170866
6,6,5,0.4,0.10708029,0.05012094310422783
7,7,5,0.5,0.106818385,0.06265117888028478
8,8,5,0.6,0.10670912,0.07518141465634173
9,9,5,0.7,0.106658705,0.08771165043239869
10,10,7,0.3,0.10637959,0.05262699025943922
11,11,7,0.4,0.10610924,0.07016932034591897
12,12,7,0.5,0.1060165,0.08771165043239869
13,13,7,0.6,0.10597917,0.10525398051887844
14,14,7,0.7,0.1059626,0.12279631060535816
15,15,9,0.3,0.10595476,0.06766327319070756
16,16,9,0.4,0.10583947,0.09021769758761009
17,17,9,0.5,0.10580481,0.11277212198451261
18,18,9,0.6,0.10579336,0.1353265463814151
19,19,9,0.7,0.10578976,0.15788097077831764
20,20,11,0.3,0.10580139,0.08269955612197591
21,21,11,0.4,0.105755575,0.11026607482930123
22,22,11,0.5,0.10574889,0.13783259353662652
23,23,11,0.6,0.10575106,0.16539911224395182
24,24,11,0.7,0.105754904,0.1929656309512771
