,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.18968911,0.021301813575497642
1,1,3,0.4,0.18230723,0.028402418100663532
2,2,3,0.5,0.17627954,0.03550302262582941
3,3,3,0.6,0.17320341,0.042603627150995284
4,4,3,0.7,0.17178047,0.04970423167616116
5,5,5,0.3,0.16809475,0.03550302262582941
6,6,5,0.4,0.16582693,0.04733736350110588
7,7,5,0.5,0.1650076,0.05917170437638235
8,8,5,0.6,0.16458446,0.07100604525165882
9,9,5,0.7,0.1643474,0.08284038612693528
10,10,7,0.3,0.16429304,0.04970423167616118
11,11,7,0.4,0.1636238,0.06627230890154824
12,12,7,0.5,0.16334775,0.08284038612693528
13,13,7,0.6,0.16320701,0.09940846335232235
14,14,7,0.7,0.16313218,0.1159765405777094
15,15,9,0.3,0.16329806,0.06390544072649293
16,16,9,0.4,0.16300836,0.08520725430199058
17,17,9,0.5,0.1629001,0.10650906787748823
18,18,9,0.6,0.16285428,0.12781088145298586
19,19,9,0.7,0.16283658,0.1491126950284835
20,20,11,0.3,0.16293356,0.0781066497768247
21,21,11,0.4,0.16280682,0.10414219970243294
22,22,11,0.5,0.16277699,0.13017774962804116
23,23,11,0.6,0.16277874,0.1562132995536494
24,24,11,0.7,0.16279203,0.18224884947925762
