,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.163212,0.02050209389787403
1,1,3,0.4,0.16082428,0.02733612519716538
2,2,3,0.5,0.15677194,0.03417015649645672
3,3,3,0.6,0.15246512,0.04100418779574806
4,4,3,0.7,0.1495558,0.0478382190950394
5,5,5,0.3,0.14597838,0.03417015649645672
6,6,5,0.4,0.14298607,0.0455602086619423
7,7,5,0.5,0.14176221,0.05695026082742787
8,8,5,0.6,0.14117892,0.06834031299291345
9,9,5,0.7,0.14083147,0.07973036515839901
10,10,7,0.3,0.14106825,0.047838219095039415
11,11,7,0.4,0.14017256,0.06378429212671922
12,12,7,0.5,0.13984069,0.07973036515839901
13,13,7,0.6,0.13965957,0.09567643819007883
14,14,7,0.7,0.1395498,0.1116225112217586
15,15,9,0.3,0.13980567,0.06150628169362209
16,16,9,0.4,0.1394621,0.08200837559149614
17,17,9,0.5,0.13932948,0.10251046948937016
18,18,9,0.6,0.1392654,0.12301256338724419
19,19,9,0.7,0.13923535,0.14351465728511822
20,20,11,0.3,0.13937727,0.07517434429220478
21,21,11,0.4,0.13922256,0.10023245905627305
22,22,11,0.5,0.1391776,0.1252905738203413
23,23,11,0.6,0.13917178,0.15034868858440956
24,24,11,0.7,0.1391859,0.17540680334847783
