,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.10405391,0.02237304574135255
1,1,3,0.4,0.09994047,0.029830727655136738
2,2,3,0.5,0.09858265,0.03728840956892092
3,3,3,0.6,0.098098844,0.0447460914827051
4,4,3,0.7,0.09789896,0.05220377339648928
5,5,5,0.3,0.09529108,0.03728840956892092
6,6,5,0.4,0.0945858,0.049717879425227894
7,7,5,0.5,0.09432431,0.06214734928153486
8,8,5,0.6,0.09421149,0.07457681913784184
9,9,5,0.7,0.094158374,0.0870062889941488
10,10,7,0.3,0.09394729,0.05220377339648929
11,11,7,0.4,0.09369175,0.06960503119531905
12,12,7,0.5,0.09360248,0.0870062889941488
13,13,7,0.6,0.093566455,0.10440754679297858
14,14,7,0.7,0.09355076,0.12180880459180832
15,15,9,0.3,0.09355309,0.06711913722405764
16,16,9,0.4,0.09344838,0.08949218296541021
17,17,9,0.5,0.093418665,0.11186522870676276
18,18,9,0.6,0.09341038,0.13423827444811529
19,19,9,0.7,0.09340905,0.15661132018946786
20,20,11,0.3,0.09341717,0.08203450105162602
21,21,11,0.4,0.09338176,0.10937933473550138
22,22,11,0.5,0.09338176,0.1367241684193767
23,23,11,0.6,0.09338878,0.16406900210325204
24,24,11,0.7,0.09339621,0.19141383578712737
