,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.12364739,0.021709907240488668
1,1,3,0.4,0.11781962,0.02894654298731823
2,2,3,0.5,0.11473168,0.03618317873414778
3,3,3,0.6,0.11345135,0.043419814480977335
4,4,3,0.7,0.11290207,0.05065645022780688
5,5,5,0.3,0.11025836,0.03618317873414778
6,6,5,0.4,0.10911893,0.04824423831219704
7,7,5,0.5,0.10868608,0.0603052978902463
8,8,5,0.6,0.10847384,0.07236635746829556
9,9,5,0.7,0.10836419,0.08442741704634482
10,10,7,0.3,0.10824759,0.0506564502278069
11,11,7,0.4,0.107874624,0.06754193363707586
12,12,7,0.5,0.10772728,0.08442741704634482
13,13,7,0.6,0.10765905,0.1013129004556138
14,14,7,0.7,0.10762611,0.11819838386488274
15,15,9,0.3,0.10769161,0.065129721721466
16,16,9,0.4,0.10753553,0.08683962896195468
17,17,9,0.5,0.10748361,0.10854953620244334
18,18,9,0.6,0.10746584,0.130259443442932
19,19,9,0.7,0.10746148,0.15196935068342068
20,20,11,0.3,0.10749596,0.07960299321512512
21,21,11,0.4,0.107437335,0.1061373242868335
22,22,11,0.5,0.10743171,0.13267165535854186
23,23,11,0.6,0.10744074,0.15920598643025025
24,24,11,0.7,0.10745311,0.1857403175019586
