,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.154564,0.020263993844348016
1,1,3,0.4,0.15286301,0.027018658459130693
2,2,3,0.5,0.15007187,0.03377332307391336
3,3,3,0.6,0.1461679,0.04052798768869603
4,4,3,0.7,0.14297383,0.047282652303478695
5,5,5,0.3,0.1388172,0.03377332307391336
6,6,5,0.4,0.13594043,0.04503109743188448
7,7,5,0.5,0.13456625,0.0562888717898556
8,8,5,0.6,0.13391562,0.06754664614782672
9,9,5,0.7,0.13353783,0.07880442050579785
10,10,7,0.3,0.13386431,0.04728265230347871
11,11,7,0.4,0.13286924,0.06304353640463828
12,12,7,0.5,0.1325158,0.07880442050579785
13,13,7,0.6,0.13232514,0.09456530460695742
14,14,7,0.7,0.13220614,0.11032618870811697
15,15,9,0.3,0.13248836,0.06079198153304404
16,16,9,0.4,0.13211873,0.08105597537739206
17,17,9,0.5,0.1319769,0.10131996922174008
18,18,9,0.6,0.13190612,0.12158396306608808
19,19,9,0.7,0.1318709,0.1418479569104361
20,20,11,0.3,0.13202618,0.07430131076260939
21,21,11,0.4,0.13185693,0.09906841435014586
22,22,11,0.5,0.13180332,0.12383551793768233
23,23,11,0.6,0.13179141,0.14860262152521878
24,24,11,0.7,0.13180198,0.17336972511275525
