,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15100527,0.020645494393899972
1,1,3,0.5,0.14403097,0.03440915732316662
2,2,3,0.7,0.13777202,0.04817282025243327
3,3,3,0.9,0.13576975,0.061936483181699926
4,4,3,1.1,0.13513438,0.07570014611096658
5,5,5,0.3,0.13470463,0.03440915732316662
6,6,5,0.5,0.13105689,0.05734859553861104
7,7,5,0.7,0.13027631,0.08028803375405545
8,8,5,0.9,0.1299737,0.10322747196949987
9,9,5,1.1,0.1298498,0.12616691018494428
10,10,7,0.3,0.13041054,0.048172820252433274
11,11,7,0.5,0.1293786,0.08028803375405545
12,12,7,0.7,0.12913194,0.11240324725567763
13,13,7,0.9,0.12904494,0.14451846075729982
14,14,7,1.1,0.12901567,0.176633674258922
15,15,9,0.3,0.12933832,0.06193648318169991
16,16,9,0.5,0.12892874,0.10322747196949987
17,17,9,0.7,0.12885085,0.14451846075729982
18,18,9,0.9,0.12884375,0.18580944954509976
19,19,9,1.1,0.12885517,0.22710043833289972
20,20,11,0.3,0.12896383,0.07570014611096657
21,21,11,0.5,0.12878968,0.12616691018494428
22,22,11,0.7,0.12879902,0.17663367425892199
23,23,11,0.9,0.128843,0.22710043833289972
24,24,11,1.1,0.12888557,0.27756720240687743
