,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.10837365,0.022482936081692245
1,1,3,0.4,0.104396306,0.029977248108923
2,2,3,0.5,0.103143185,0.03747156013615374
3,3,3,0.6,0.10270066,0.04496587216338449
4,4,3,0.7,0.10251767,0.05246018419061523
5,5,5,0.3,0.099746175,0.03747156013615374
6,6,5,0.4,0.09904981,0.049962080181538325
7,7,5,0.5,0.09879938,0.06245260022692291
8,8,5,0.6,0.0986948,0.07494312027230748
9,9,5,0.7,0.09864685,0.08743364031769207
10,10,7,0.3,0.09840514,0.052460184190615246
11,11,7,0.4,0.0981567,0.06994691225415366
12,12,7,0.5,0.09807364,0.08743364031769207
13,13,7,0.6,0.09804173,0.10492036838123049
14,14,7,0.7,0.098028585,0.12240709644476888
15,15,9,0.3,0.098017596,0.06744880824507674
16,16,9,0.4,0.09792031,0.08993174432676898
17,17,9,0.5,0.097895876,0.11241468040846123
18,18,9,0.6,0.09789094,0.13489761649015347
19,19,9,0.7,0.09789171,0.15738055257184572
20,20,11,0.3,0.09788979,0.08243743229953823
21,21,11,0.4,0.09786364,0.10991657639938432
22,22,11,0.5,0.09786957,0.1373957204992304
23,23,11,0.6,0.09788017,0.16487486459907646
24,24,11,0.7,0.09788978,0.19235400869892252
