,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.086519636,0.020330602782650562
1,1,3,0.4,0.08549932,0.02710747037686742
2,2,3,0.5,0.08377522,0.03388433797108427
3,3,3,0.6,0.08154377,0.040661205565301124
4,4,3,0.7,0.079821296,0.04743807315951797
5,5,5,0.3,0.077645406,0.03388433797108427
6,6,5,0.4,0.07604232,0.045179117294779025
7,7,5,0.5,0.07531471,0.05647389661847378
8,8,5,0.6,0.07497184,0.06776867594216854
9,9,5,0.7,0.07477121,0.0790634552658633
10,10,7,0.3,0.07492827,0.04743807315951798
11,11,7,0.4,0.07440233,0.06325076421269064
12,12,7,0.5,0.07421445,0.0790634552658633
13,13,7,0.6,0.074113265,0.09487614631903596
14,14,7,0.7,0.07405153,0.11068883737220861
15,15,9,0.3,0.07419324,0.06099180834795168
16,16,9,0.4,0.07399746,0.08132241113060225
17,17,9,0.5,0.07392397,0.10165301391325281
18,18,9,0.6,0.07389036,0.12198361669590337
19,19,9,0.7,0.07387734,0.14231421947855394
20,20,11,0.3,0.07394792,0.07454554353638539
21,21,11,0.4,0.07386176,0.09939405804851387
22,22,11,0.5,0.07383993,0.12424257256064232
23,23,11,0.6,0.073843054,0.14909108707277077
24,24,11,0.7,0.07386033,0.17393960158489924
