,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.1446881,0.02237304574135255
1,1,3,0.4,0.13896713,0.029830727655136738
2,2,3,0.5,0.13707829,0.03728840956892092
3,3,3,0.6,0.13640507,0.0447460914827051
4,4,3,0.7,0.13612682,0.05220377339648928
5,5,5,0.3,0.13249703,0.03728840956892092
6,6,5,0.4,0.13151577,0.049717879425227894
7,7,5,0.5,0.1311517,0.06214734928153486
8,8,5,0.6,0.13099433,0.07457681913784184
9,9,5,0.7,0.13092008,0.0870062889941488
10,10,7,0.3,0.1306269,0.05220377339648929
11,11,7,0.4,0.13026871,0.06960503119531905
12,12,7,0.5,0.13014184,0.0870062889941488
13,13,7,0.6,0.13008961,0.10440754679297858
14,14,7,0.7,0.13006628,0.12180880459180832
15,15,9,0.3,0.1300726,0.06711913722405764
16,16,9,0.4,0.12991956,0.08949218296541021
17,17,9,0.5,0.12987216,0.11186522870676276
18,18,9,0.6,0.12985617,0.13423827444811529
19,19,9,0.7,0.12985112,0.15661132018946786
20,20,11,0.3,0.12987255,0.08203450105162602
21,21,11,0.4,0.12981054,0.10937933473550138
22,22,11,0.5,0.12980056,0.1367241684193767
23,23,11,0.6,0.12980305,0.16406900210325204
24,24,11,0.7,0.12980817,0.19141383578712737
