,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.119911484,0.022348185495056468
1,1,3,0.4,0.11509363,0.0297975806600753
2,2,3,0.5,0.1134827,0.03724697582509412
3,3,3,0.6,0.11290648,0.044696370990112935
4,4,3,0.7,0.11266801,0.05214576615513176
5,5,5,0.3,0.10968171,0.03724697582509412
6,6,5,0.4,0.1088667,0.04966263443345882
7,7,5,0.5,0.108565696,0.06207829304182353
8,8,5,0.6,0.10843621,0.07449395165018824
9,9,5,0.7,0.108375624,0.08690961025855294
10,10,7,0.3,0.108134486,0.052145766155131765
11,11,7,0.4,0.107843146,0.06952768820684237
12,12,7,0.5,0.1077418,0.08690961025855294
13,13,7,0.6,0.10770124,0.10429153231026353
14,14,7,0.7,0.10768388,0.1216734543619741
15,15,9,0.3,0.1076863,0.06704455648516941
16,16,9,0.4,0.10756971,0.08939274198022588
17,17,9,0.5,0.10753787,0.11174092747528236
18,18,9,0.6,0.10752993,0.13408911297033882
19,19,9,0.7,0.10752952,0.15643729846539528
20,20,11,0.3,0.10753588,0.08194334681520705
21,21,11,0.4,0.10749987,0.10925779575360942
22,22,11,0.5,0.107502684,0.13657224469201176
23,23,11,0.6,0.10751257,0.1638866936304141
24,24,11,0.7,0.10752232,0.19120114256881646
