,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.17282408,0.021464312217564348
1,1,3,0.4,0.16534416,0.028619082956752473
2,2,3,0.5,0.16024339,0.035773853695940584
3,3,3,0.6,0.15787606,0.042928624435128696
4,4,3,0.7,0.15681942,0.05008339517431681
5,5,5,0.3,0.15333886,0.035773853695940584
6,6,5,0.4,0.1514826,0.04769847159458745
7,7,5,0.5,0.15079877,0.059623089493234305
8,8,5,0.6,0.15045185,0.07154770739188117
9,9,5,0.7,0.15026456,0.08347232529052803
10,10,7,0.3,0.15017147,0.05008339517431682
11,11,7,0.4,0.14960413,0.06677786023242244
12,12,7,0.5,0.14937411,0.08347232529052803
13,13,7,0.6,0.14926195,0.10016679034863364
14,14,7,0.7,0.14920527,0.11686125540673922
15,15,9,0.3,0.14932236,0.06439293665269305
16,16,9,0.4,0.14908174,0.0858572488702574
17,17,9,0.5,0.14899807,0.10732156108782175
18,18,9,0.6,0.14896761,0.1287858733053861
19,19,9,0.7,0.14895952,0.15025018552295044
20,20,11,0.3,0.1490218,0.07870247813106929
21,21,11,0.4,0.1489265,0.10493663750809239
22,22,11,0.5,0.14891374,0.1311707968851155
23,23,11,0.6,0.14892623,0.15740495626213857
24,24,11,0.7,0.1489459,0.18363911563916166
