,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15270431,0.020172944034611808
1,1,3,0.5,0.14876778,0.033621573391019684
2,2,3,0.7,0.14180052,0.04707020274742755
3,3,3,0.9,0.1382948,0.060518832103835435
4,4,3,1.1,0.13703646,0.07396746146024331
5,5,5,0.3,0.13729326,0.033621573391019684
6,6,5,0.5,0.13302754,0.05603595565169947
7,7,5,0.7,0.13193782,0.07845033791237926
8,8,5,0.9,0.1315001,0.10086472017305906
9,9,5,1.1,0.1312968,0.12327910243373884
10,10,7,0.3,0.13231933,0.04707020274742756
11,11,7,0.5,0.13089556,0.07845033791237926
12,12,7,0.7,0.13057442,0.10983047307733096
13,13,7,0.9,0.13044456,0.14121060824228268
14,14,7,1.1,0.13039461,0.1725907434072344
15,15,9,0.3,0.13086662,0.06051883210383543
16,16,9,0.5,0.13032804,0.10086472017305906
17,17,9,0.7,0.13021655,0.14121060824228268
18,18,9,0.9,0.13019928,0.18155649631150628
19,19,9,1.1,0.13021429,0.22190238438072993
20,20,11,0.3,0.1303777,0.0739674614602433
21,21,11,0.5,0.13014115,0.12327910243373884
22,22,11,0.7,0.13013831,0.17259074340723435
23,23,11,0.9,0.13019496,0.22190238438072993
24,24,11,1.1,0.13026232,0.2712140253542255
