,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.161285,0.023994097346251127
1,1,3,0.4,0.1597738,0.03199212979500151
2,2,3,0.5,0.15936348,0.03999016224375188
3,3,3,0.6,0.15921788,0.047988194692502255
4,4,3,0.7,0.15915605,0.05598622714125262
5,5,5,0.3,0.15402132,0.03999016224375188
6,6,5,0.4,0.15350562,0.05332021632500251
7,7,5,0.5,0.1533609,0.06665027040625314
8,8,5,0.6,0.15330891,0.07998032448750376
9,9,5,0.7,0.15328692,0.09331037856875439
10,10,7,0.3,0.15261208,0.055986227141252634
11,11,7,0.4,0.15243046,0.07464830285500351
12,12,7,0.5,0.15238397,0.09331037856875439
13,13,7,0.6,0.15236937,0.11197245428250527
14,14,7,0.7,0.15236436,0.13063452999625613
15,15,9,0.3,0.15221624,0.07198229203875338
16,16,9,0.4,0.15215223,0.09597638938500451
17,17,9,0.5,0.15214205,0.11997048673125564
18,18,9,0.6,0.15214203,0.14396458407750676
19,19,9,0.7,0.15214394,0.1679586814237579
20,20,11,0.3,0.15209931,0.08797835693625414
21,21,11,0.4,0.15209113,0.11730447591500552
22,22,11,0.5,0.15209992,0.1466305948937569
23,23,11,0.6,0.15210818,0.17595671387250827
24,24,11,0.7,0.15211442,0.20528283285125964
