,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.12419072,0.020685349514162617
1,1,3,0.4,0.12184593,0.0275804660188835
2,2,3,0.5,0.118221134,0.034475582523604366
3,3,3,0.6,0.11507461,0.041370699028325235
4,4,3,0.7,0.11319368,0.04826581553304611
5,5,5,0.3,0.11073524,0.034475582523604366
6,6,5,0.4,0.10859445,0.04596744336480583
7,7,5,0.5,0.107788846,0.05745930420600728
8,8,5,0.6,0.107396275,0.06895116504720873
9,9,5,0.7,0.10716164,0.0804430258884102
10,10,7,0.3,0.10726644,0.04826581553304612
11,11,7,0.4,0.10666771,0.06435442071072817
12,12,7,0.5,0.10643926,0.0804430258884102
13,13,7,0.6,0.10631608,0.09653163106609224
14,14,7,0.7,0.106244445,0.11262023624377426
15,15,9,0.3,0.10640581,0.062056048542487856
16,16,9,0.4,0.106169224,0.08274139805665048
17,17,9,0.5,0.106079884,0.1034267475708131
18,18,9,0.6,0.106040135,0.12411209708497571
19,19,9,0.7,0.10602478,0.14479744659913835
20,20,11,0.3,0.106107794,0.0758462815519296
21,21,11,0.4,0.106003486,0.10112837540257283
22,22,11,0.5,0.1059783,0.12641046925321603
23,23,11,0.6,0.1059819,0.1516925631038592
24,24,11,0.7,0.10599939,0.1769746569545024
