,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15664841,0.020079419547433915
1,1,3,0.5,0.15313038,0.03346569924572319
2,2,3,0.7,0.1461742,0.04685197894401247
3,3,3,0.9,0.14225596,0.060238258642301756
4,4,3,1.1,0.1407986,0.07362453834059103
5,5,5,0.3,0.14108719,0.03346569924572319
6,6,5,0.5,0.13671881,0.05577616540953866
7,7,5,0.7,0.13552946,0.07808663157335412
8,8,5,0.9,0.13505502,0.1003970977371696
9,9,5,1.1,0.13482912,0.12270756390098506
10,10,7,0.3,0.1359646,0.046851978944012475
11,11,7,0.5,0.13441902,0.07808663157335412
12,12,7,0.7,0.1340741,0.10932128420269577
13,13,7,0.9,0.13392916,0.14055593683203743
14,14,7,1.1,0.13387004,0.1717905894613791
15,15,9,0.3,0.13438758,0.06023825864230175
16,16,9,0.5,0.13380839,0.1003970977371696
17,17,9,0.7,0.13368545,0.14055593683203743
18,18,9,0.9,0.13366228,0.18071477592690524
19,19,9,1.1,0.13367589,0.2208736150217731
20,20,11,0.3,0.13386634,0.07362453834059103
21,21,11,0.5,0.13361302,0.12270756390098506
22,22,11,0.7,0.13360366,0.17179058946137907
23,23,11,0.9,0.13365906,0.2208736150217731
24,24,11,1.1,0.13372937,0.2699566405821672
