,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.18001176,0.02391183856417643
1,1,3,0.4,0.17821467,0.03188245141890191
2,2,3,0.5,0.17772864,0.039853064273627385
3,3,3,0.6,0.1775568,0.04782367712835286
4,4,3,0.7,0.17748408,0.05579428998307833
5,5,5,0.3,0.17180692,0.039853064273627385
6,6,5,0.4,0.1712138,0.05313741903150318
7,7,5,0.5,0.17104751,0.06642177378937897
8,8,5,0.6,0.17098808,0.07970612854725477
9,9,5,0.7,0.1709632,0.09299048330513056
10,10,7,0.3,0.1702233,0.05579428998307834
11,11,7,0.4,0.17001621,0.07439238664410446
12,12,7,0.5,0.16996358,0.09299048330513056
13,13,7,0.6,0.16994739,0.11158857996615668
14,14,7,0.7,0.16994204,0.13018667662718278
15,15,9,0.3,0.16978177,0.07173551569252928
16,16,9,0.4,0.16971035,0.09564735425670573
17,17,9,0.5,0.16969983,0.11955919282088215
18,18,9,0.6,0.16970055,0.14347103138505857
19,19,9,0.7,0.16970327,0.167382869949235
20,20,11,0.3,0.16964875,0.08767674140198024
21,21,11,0.4,0.16963975,0.116902321869307
22,22,11,0.5,0.16965014,0.14612790233663375
23,23,11,0.6,0.16965988,0.1753534828039605
24,24,11,0.7,0.16966721,0.20457906327128722
