,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15640113,0.020438797637513623
1,1,3,0.4,0.1542919,0.027251730183351506
2,2,3,0.5,0.15068227,0.03406466272918938
3,3,3,0.6,0.14656194,0.04087759527502725
4,4,3,0.7,0.14364602,0.04769052782086512
5,5,5,0.3,0.14006789,0.03406466272918938
6,6,5,0.4,0.13718006,0.04541955030558584
7,7,5,0.5,0.1359557,0.0567744378819823
8,8,5,0.6,0.13537468,0.06812932545837876
9,9,5,0.7,0.13502952,0.07948421303477521
10,10,7,0.3,0.1352659,0.04769052782086513
11,11,7,0.4,0.13436922,0.06358737042782017
12,12,7,0.5,0.13403966,0.07948421303477521
13,13,7,0.6,0.133859,0.09538105564173026
14,14,7,0.7,0.13374764,0.11127789824868528
15,15,9,0.3,0.13400342,0.061316392912540874
16,16,9,0.4,0.13365781,0.08175519055005451
17,17,9,0.5,0.13352178,0.10219398818756813
18,18,9,0.6,0.13345334,0.12263278582508175
19,19,9,0.7,0.13341883,0.14307158346259538
20,20,11,0.3,0.13357288,0.07494225800421662
21,21,11,0.4,0.13341068,0.09992301067228884
22,22,11,0.5,0.13335793,0.12490376334036105
23,23,11,0.6,0.13334478,0.14988451600843325
24,24,11,0.7,0.1333525,0.17486526867650545
