,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15153368,0.019983238533756078
1,1,3,0.5,0.14853844,0.03330539755626013
2,2,3,0.7,0.14206591,0.046627556578764176
3,3,3,0.9,0.13793558,0.059949715601268244
4,4,3,1.1,0.13632871,0.0732718746237723
5,5,5,0.3,0.13659884,0.03330539755626013
6,6,5,0.5,0.13238312,0.05550899592710022
7,7,5,0.7,0.13114047,0.07771259429794031
8,8,5,0.9,0.13065308,0.0999161926687804
9,9,5,1.1,0.13041726,0.12211979103962048
10,10,7,0.3,0.13163735,0.04662755657876418
11,11,7,0.5,0.13004996,0.07771259429794031
12,12,7,0.7,0.1297038,0.10879763201711642
13,13,7,0.9,0.12955782,0.13988266973629254
14,14,7,1.1,0.12949778,0.1709677074554687
15,15,9,0.3,0.1300401,0.05994971560126823
16,16,9,0.5,0.12944935,0.0999161926687804
17,17,9,0.7,0.12932514,0.13988266973629254
18,18,9,0.9,0.12930056,0.1798491468038047
19,19,9,1.1,0.12931412,0.21981562387131687
20,20,11,0.3,0.12951425,0.07327187462377228
21,21,11,0.5,0.12925877,0.12211979103962048
22,22,11,0.7,0.1292455,0.17096770745546866
23,23,11,0.9,0.12929836,0.21981562387131687
24,24,11,1.1,0.12936945,0.2686635402871651
