,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.18346348,0.023243295730589128
1,1,3,0.4,0.18009314,0.030991060974118845
2,2,3,0.5,0.1791855,0.03873882621764855
3,3,3,0.6,0.17887096,0.046486591461178256
4,4,3,0.7,0.17874013,0.05423435670470796
5,5,5,0.3,0.1733763,0.03873882621764855
6,6,5,0.4,0.17253794,0.05165176829019807
7,7,5,0.5,0.17228132,0.06456471036274758
8,8,5,0.6,0.1721856,0.0774776524352971
9,9,5,0.7,0.17214453,0.09039059450784662
10,10,7,0.3,0.17152593,0.05423435670470797
11,11,7,0.4,0.17122927,0.0723124756062773
12,12,7,0.5,0.17114502,0.09039059450784662
13,13,7,0.6,0.17111635,0.10846871340941594
14,14,7,0.7,0.17110564,0.12654683231098524
15,15,9,0.3,0.1710054,0.06972988719176738
16,16,9,0.4,0.17089677,0.09297318292235653
17,17,9,0.5,0.17087547,0.11621647865294565
18,18,9,0.6,0.1708731,0.13945977438353477
19,19,9,0.7,0.17087524,0.1627030701141239
20,20,11,0.3,0.17084353,0.0852254176788268
21,21,11,0.4,0.1708208,0.11363389023843576
22,22,11,0.5,0.1708305,0.1420423627980447
23,23,11,0.6,0.17084217,0.1704508353576536
24,24,11,0.7,0.17085162,0.19885930791726253
