,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.18763934,0.023072101229341776
1,1,3,0.4,0.18355657,0.030762801639122376
2,2,3,0.5,0.18244201,0.038453502048902966
3,3,3,0.6,0.18205665,0.04614420245868355
4,4,3,0.7,0.18189695,0.053834902868464145
5,5,5,0.3,0.17653482,0.038453502048902966
6,6,5,0.4,0.17559868,0.051271336065203954
7,7,5,0.5,0.17530043,0.06408917008150494
8,8,5,0.6,0.1751861,0.07690700409780593
9,9,5,0.7,0.17513601,0.08972483811410692
10,10,7,0.3,0.17454855,0.05383490286846415
11,11,7,0.4,0.17421286,0.07177987049128555
12,12,7,0.5,0.17411305,0.08972483811410692
13,13,7,0.6,0.17407767,0.1076698057369283
14,14,7,0.7,0.17406376,0.1256147733597497
15,15,9,0.3,0.17397997,0.06921630368802534
16,16,9,0.4,0.17385042,0.09228840491736712
17,17,9,0.5,0.17382036,0.1153605061467089
18,18,9,0.6,0.17381395,0.13843260737605068
19,19,9,0.7,0.17381397,0.16150470860539246
20,20,11,0.3,0.17379628,0.08459770450758652
21,21,11,0.4,0.17375928,0.11279693934344871
22,22,11,0.5,0.17376244,0.14099617417931087
23,23,11,0.6,0.1737708,0.16919540901517305
24,24,11,0.7,0.17377841,0.1973946438510352
