,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15430379,0.020685349514162617
1,1,3,0.4,0.15138698,0.0275804660188835
2,2,3,0.5,0.14688154,0.034475582523604366
3,3,3,0.6,0.14297047,0.041370699028325235
4,4,3,0.7,0.14063181,0.04826581553304611
5,5,5,0.3,0.13756539,0.034475582523604366
6,6,5,0.4,0.13490044,0.04596744336480583
7,7,5,0.5,0.13389684,0.05745930420600728
8,8,5,0.6,0.1334071,0.06895116504720873
9,9,5,0.7,0.13311377,0.0804430258884102
10,10,7,0.3,0.13324086,0.04826581553304612
11,11,7,0.4,0.13249171,0.06435442071072817
12,12,7,0.5,0.1322037,0.0804430258884102
13,13,7,0.6,0.13204645,0.09653163106609224
14,14,7,0.7,0.1319532,0.11262023624377426
15,15,9,0.3,0.13216099,0.062056048542487856
16,16,9,0.4,0.13185926,0.08274139805665048
17,17,9,0.5,0.13174139,0.1034267475708131
18,18,9,0.6,0.1316851,0.12411209708497571
19,19,9,0.7,0.13165914,0.14479744659913835
20,20,11,0.3,0.13177897,0.0758462815519296
21,21,11,0.4,0.13163827,0.10112837540257283
22,22,11,0.5,0.13159667,0.12641046925321603
23,23,11,0.6,0.13159041,0.1516925631038592
24,24,11,0.7,0.13160127,0.1769746569545024
