,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.19128262,0.02186959460375746
1,1,3,0.4,0.18219656,0.02915945947167662
2,2,3,0.5,0.17802012,0.036449324339595766
3,3,3,0.6,0.17637663,0.04373918920751492
4,4,3,0.7,0.1756812,0.051029054075434066
5,5,5,0.3,0.17141965,0.036449324339595766
6,6,5,0.4,0.16979149,0.048599099119461024
7,7,5,0.5,0.1691648,0.06074887389932628
8,8,5,0.6,0.16886576,0.07289864867919153
9,9,5,0.7,0.16871484,0.08504842345905679
10,10,7,0.3,0.1685076,0.05102905407543408
11,11,7,0.4,0.16795336,0.06803873876724545
12,12,7,0.5,0.16773584,0.08504842345905679
13,13,7,0.6,0.16763575,0.10205810815086816
14,14,7,0.7,0.1675869,0.1190677928426795
15,15,9,0.3,0.16767418,0.06560878381127237
16,16,9,0.4,0.1674328,0.08747837841502985
17,17,9,0.5,0.16734661,0.1093479730187873
18,18,9,0.6,0.16731173,0.13121756762254475
19,19,9,0.7,0.16729768,0.15308716222630223
20,20,11,0.3,0.16736805,0.08018851354711069
21,21,11,0.4,0.16726263,0.10691801806281427
22,22,11,0.5,0.16723627,0.1336475225785178
23,23,11,0.6,0.16723318,0.16037702709422139
24,24,11,0.7,0.1672376,0.18710653160992494
