,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.07104865,0.022772221489471244
1,1,3,0.4,0.06898282,0.030362961985961664
2,2,3,0.5,0.068387456,0.03795370248245208
3,3,3,0.6,0.06818002,0.04554444297894249
4,4,3,0.7,0.068093956,0.0531351834754329
5,5,5,0.3,0.066171855,0.03795370248245208
6,6,5,0.4,0.06576607,0.050604936643269434
7,7,5,0.5,0.06562858,0.0632561708040868
8,8,5,0.6,0.06557385,0.07590740496490415
9,9,5,0.7,0.065549396,0.08855863912572151
10,10,7,0.3,0.065357536,0.053135183475432904
11,11,7,0.4,0.0652128,0.07084691130057721
12,12,7,0.5,0.06516765,0.08855863912572151
13,13,7,0.6,0.06515126,0.10627036695086581
14,14,7,0.7,0.06514483,0.12398209477601009
15,15,9,0.3,0.06512587,0.06831666446841372
16,16,9,0.4,0.065072514,0.09108888595788499
17,17,9,0.5,0.065061375,0.11386110744735622
18,18,9,0.6,0.06506031,0.13663332893682745
19,19,9,0.7,0.06506173,0.1594055504262987
20,20,11,0.3,0.065055095,0.08349814546139456
21,21,11,0.4,0.065046,0.11133086061519276
22,22,11,0.5,0.06505332,0.13916357576899094
23,23,11,0.6,0.06506157,0.16699629092278911
24,24,11,0.7,0.06506829,0.1948290060765873
