,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.20200177,0.021200487163038552
1,1,3,0.4,0.19480193,0.028267316217384743
2,2,3,0.5,0.18819427,0.03533414527173093
3,3,3,0.6,0.1845795,0.042400974326077104
4,4,3,0.7,0.18285844,0.04946780338042329
5,5,5,0.3,0.17899206,0.03533414527173093
6,6,5,0.4,0.17640072,0.04711219369564123
7,7,5,0.5,0.17547487,0.05889024211955154
8,8,5,0.6,0.17499702,0.07066829054346185
9,9,5,0.7,0.17472501,0.08244633896737216
10,10,7,0.3,0.17470357,0.049467803380423295
11,11,7,0.4,0.17395838,0.06595707117389774
12,12,7,0.5,0.1736506,0.08244633896737216
13,13,7,0.6,0.17349035,0.09893560676084659
14,14,7,0.7,0.17340304,0.115424874554321
15,15,9,0.3,0.1735957,0.06360146148911566
16,16,9,0.4,0.17327133,0.08480194865215422
17,17,9,0.5,0.17314698,0.10600243581519277
18,18,9,0.6,0.17309155,0.12720292297823133
19,19,9,0.7,0.17306793,0.14840341014126987
20,20,11,0.3,0.1731867,0.07773511959780803
21,21,11,0.4,0.17303869,0.10364682613041072
22,22,11,0.5,0.17299823,0.1295585326630134
23,23,11,0.6,0.17299369,0.15547023919561606
24,24,11,0.7,0.1730034,0.18138194572821872
