,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.15759774,0.023977780549361324
1,1,3,0.4,0.15609986,0.031970374065815106
2,2,3,0.5,0.15569288,0.03996296758226888
3,3,3,0.6,0.15554832,0.04795556109872265
4,4,3,0.7,0.15548682,0.055948154615176424
5,5,5,0.3,0.15048255,0.03996296758226888
6,6,5,0.4,0.14997707,0.053283956776358506
7,7,5,0.5,0.14983572,0.06660494597044814
8,8,5,0.6,0.14978519,0.07992593516453776
9,9,5,0.7,0.14976396,0.09324692435862739
10,10,7,0.3,0.14911044,0.05594815461517643
11,11,7,0.4,0.14893393,0.07459753948690191
12,12,7,0.5,0.14888902,0.09324692435862739
13,13,7,0.6,0.14887504,0.11189630923035286
14,14,7,0.7,0.14887036,0.1305456941020783
15,15,9,0.3,0.14873159,0.07193334164808397
16,16,9,0.4,0.14867224,0.09591112219744531
17,17,9,0.5,0.148664,0.11988890274680664
18,18,9,0.6,0.14866495,0.14386668329616795
19,19,9,0.7,0.14866747,0.16784446384552928
20,20,11,0.3,0.14862558,0.08791852868099152
21,21,11,0.4,0.14862286,0.11722470490798872
22,22,11,0.5,0.14863431,0.14653088113498589
23,23,11,0.6,0.14864407,0.17583705736198305
24,24,11,0.7,0.14865123,0.20514323358898023
