,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.11516314,0.02241005369098188
1,1,3,0.4,0.1107188,0.029880071587975846
2,2,3,0.5,0.109276906,0.0373500894849698
3,3,3,0.6,0.10876528,0.04482010738196376
4,4,3,0.7,0.10855406,0.05229012527895772
5,5,5,0.3,0.10565595,0.0373500894849698
6,6,5,0.4,0.10489318,0.04980011931329307
7,7,5,0.5,0.104613826,0.06225014914161634
8,8,5,0.6,0.10449489,0.0747001789699396
9,9,5,0.7,0.104439564,0.08715020879826288
10,10,7,0.3,0.10420007,0.052290125278957725
11,11,7,0.4,0.10392562,0.06972016703861031
12,12,7,0.5,0.10383111,0.08715020879826288
13,13,7,0.6,0.1037936,0.10458025055791545
14,14,7,0.7,0.1037776,0.122010292317568
15,15,9,0.3,0.10377477,0.06723016107294565
16,16,9,0.4,0.103664085,0.08964021476392753
17,17,9,0.5,0.103633784,0.11205026845490941
18,18,9,0.6,0.10362599,0.1344603221458913
19,19,9,0.7,0.10362529,0.15687037583687316
20,20,11,0.3,0.103630126,0.08217019686693357
21,21,11,0.4,0.10359462,0.10956026248924476
22,22,11,0.5,0.10359607,0.13695032811155594
23,23,11,0.6,0.10360436,0.16434039373386714
24,24,11,0.7,0.10361272,0.1917304593561783
