index,path,concentrate_lung_time,kem_spe,kmeans_spe,gmm_spe
0,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.160216916075817913953530562493.mhd,21.2036612033844,0.0025025595,0.04860703,0.06751683
1,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.308655308958459380153492314021.mhd,34.08653736114502,0.00025503314,0.0064957244,0.008329124
2,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.299767339686526858593516834230.mhd,13.62827467918396,0.0003374054,0.0067617353,0.009944526
3,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975.mhd,13.04171371459961,0.002106815,0.044628486,0.06469421
4,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495.mhd,32.50640082359314,0.00068627053,0.011193623,0.016357495
5,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.309901913847714156367981722205.mhd,15.406119585037231,0.0007094651,0.0075410525,0.012961344
6,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366.mhd,17.782695293426514,0.0023118416,0.052804507,0.06691396
7,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725.mhd,69.55003833770752,0.0011583832,0.019394804,0.02734028
8,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.931383239747372227838946053237.mhd,18.674063682556152,0.00035562698,0.00422574,0.008373349
294,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.334184846571549530235084187602.mhd,25.424006700515747,0.0021633315,0.0413994,0.054570477
9,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.302403227435841351528721627052.mhd,80.43228268623352,0.0005444149,0.009850614,0.014519786
10,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.183843376225716802567192412456.mhd,11.82938027381897,0.0013065456,0.022591261,0.040228788
147,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.385151742584074711135621089321.mhd,17.541667938232422,0.0020416372,0.04068961,0.05857013
11,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.312704771348460502013249647868.mhd,23.071763515472412,0.000119790355,0.002549814,0.004765725
735,/database/datasets/Classics/LUNA2016/IMAGES/1.3.6.1.4.1.14519.5.2.1.6279.6001.200558451375970945040979397866.mhd,25.913116216659546,0.001351728,0.033490922,0.04788066
