,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.085057944,0.06602658355154181,4.751331283455258e-06,3474.109655406202
1,1,5,0.009765625,0.08081672,0.11004430591923635,3.666150681678439e-05,750.4076855677397
2,2,7,0.013671875,0.08016862,0.15406202828693089,0.0001408388445873589,273.472188617981
3,3,9,0.017578125,0.08004454,0.19807975065462544,0.0003848578339598759,128.67072797800748
4,4,11,0.021484375,0.080096275,0.24209747302232,0.0008588177940872647,70.4740501096675
