,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.14074972,0.06628060443244403,4.824872591324488e-06,3434.318895364301
1,1,5,0.009765625,0.13385679,0.11046767405407339,3.72289551799729e-05,741.812881398689
2,2,7,0.013671875,0.13279831,0.15465474367570273,0.00014301875421938385,270.33997135520747
3,3,9,0.017578125,0.13256297,0.19884181329733208,0.0003908146798972834,127.19699612460377
4,4,11,0.021484375,0.13258396,0.24302888291896144,0.0008721106124639729,69.66687466178523
