,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.1819381,0.07845765543083652,9.47286421464079e-06,2070.5895717785193
1,1,5,0.009765625,0.17525783,0.1307627590513942,7.309308807593202e-05,447.24734750416013
2,2,7,0.013671875,0.17422847,0.1830678626719519,0.00028079440715250063,162.99101585428568
3,3,9,0.017578125,0.17399004,0.2353729662925096,0.0007673020013859043,76.68850265846365
4,4,11,0.021484375,0.17396076,0.28767806991306727,0.0017122494440315538,42.00294398048084
