,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.15591143,0.07154770739188117,6.5512307627362246e-06,2730.315492733389
1,1,5,0.009765625,0.15006684,0.11924617898646861,5.0549620082841234e-05,589.7481464304121
2,2,7,0.013671875,0.149154,0.16694465058105606,0.00019419142051024294,214.92279388863412
3,3,9,0.017578125,0.14897092,0.2146431221756435,0.000530649691781634,101.12279602716258
4,4,11,0.021484375,0.14899822,0.262341593770231,0.0011841551802126062,55.385813902179926
