,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.13526136,0.06868383708065111,5.563629564534336e-06,3086.2873005816214
1,1,5,0.009765625,0.12973502,0.11447306180108517,4.2929240467085915e-05,666.6380569256304
2,2,7,0.013671875,0.12885816,0.16026228652151925,0.00016491697017835728,242.9438982965125
3,3,9,0.017578125,0.12868479,0.2060515112419533,0.0004506539947272811,114.30693705857858
4,4,11,0.021484375,0.12871473,0.2518407359623874,0.0010056432154857678,62.606879876561834
