,i,kernel_size,bandwidth,SPE,Ch,Ch^4/4,Ch^-3
0,0,3,0.005859375,0.18176022,0.07690700409780593,8.745881402978127e-06,2198.377743597625
1,1,5,0.009765625,0.17509188,0.12817834016300989,6.748365280075715e-05,474.84959261708696
2,2,7,0.013671875,0.17405479,0.17944967622821384,0.0002592452005993887,173.05014308202877
3,3,9,0.017578125,0.17381956,0.2307210122934178,0.0007084163936412282,81.42139791102313
4,4,11,0.021484375,0.17379278,0.28199234835862175,0.0015808450570494166,44.59519089191275
